CustomerID,Cluster
C0001,1
C0002,5
C0003,1
C0004,9
C0005,5
C0006,1
C0007,5
C0008,3
C0009,6
C0010,2
C0011,1
C0012,9
C0013,9
C0014,6
C0015,8
C0016,3
C0017,4
C0018,3
C0019,2
C0020,8
C0021,7
C0022,7
C0023,4
C0024,3
C0025,1
C0026,3
C0027,5
C0028,7
C0029,8
C0030,3
C0031,1
C0032,6
C0033,8
C0034,3
C0035,3
C0036,8
C0037,4
C0038,3
C0039,9
C0040,5
C0041,0
C0042,8
C0043,6
C0044,2
C0045,7
C0046,7
C0047,3
C0048,1
C0049,3
C0050,3
C0051,4
C0052,1
C0053,4
C0054,0
C0055,3
C0056,5
C0057,4
C0058,8
C0059,0
C0060,6
C0061,2
C0062,2
C0063,2
C0064,4
C0065,0
C0066,2
C0067,3
C0068,0
C0069,2
C0070,2
C0071,6
C0072,3
C0073,2
C0074,2
C0075,0
C0076,1
C0077,6
C0078,6
C0079,3
C0080,6
C0081,4
C0082,0
C0083,6
C0084,7
C0085,1
C0086,2
C0087,9
C0088,5
C0089,2
C0090,7
C0091,9
C0092,5
C0093,7
C0094,8
C0095,6
C0096,9
C0097,6
C0098,3
C0099,9
C0100,4
C0101,7
C0102,9
C0103,2
C0104,9
C0105,4
C0106,5
C0107,1
C0108,9
C0109,0
C0110,6
C0111,2
C0112,1
C0113,9
C0114,4
C0115,5
C0116,3
C0117,3
C0118,1
C0119,2
C0120,1
C0121,2
C0122,3
C0123,6
C0124,4
C0125,3
C0126,1
C0127,2
C0128,6
C0129,1
C0130,6
C0131,8
C0132,2
C0133,1
C0134,5
C0135,2
C0136,7
C0137,1
C0138,7
C0139,3
C0140,5
C0141,0
C0142,5
C0143,7
C0144,8
C0145,7
C0146,5
C0147,1
C0148,9
C0149,4
C0150,6
C0151,6
C0152,1
C0153,9
C0154,3
C0155,9
C0156,0
C0157,8
C0158,1
C0159,5
C0160,3
C0161,5
C0162,7
C0163,9
C0164,2
C0165,0
C0166,2
C0167,2
C0168,1
C0169,9
C0170,4
C0171,9
C0172,2
C0173,7
C0174,1
C0175,7
C0176,3
C0177,5
C0178,5
C0179,4
C0181,1
C0182,4
C0183,3
C0184,1
C0185,3
C0186,5
C0187,1
C0188,9
C0189,3
C0190,1
C0191,1
C0192,1
C0193,5
C0194,3
C0195,9
C0196,4
C0197,2
C0198,6
C0199,2
C0200,7
