cust_id,lookalikes
C0001,"[('C0184', 0.9935), ('C0048', 0.982), ('C0190', 0.9645)]"
C0002,"[('C0088', 0.997), ('C0092', 0.9326), ('C0106', 0.898)]"
C0003,"[('C0076', 0.9404), ('C0052', 0.9075), ('C0031', 0.8921)]"
C0004,"[('C0169', 0.9782), ('C0165', 0.9755), ('C0087', 0.9675)]"
C0005,"[('C0186', 0.9976), ('C0140', 0.9915), ('C0146', 0.9875)]"
C0006,"[('C0126', 0.9874), ('C0187', 0.9866), ('C0011', 0.9768)]"
C0007,"[('C0146', 1.0), ('C0005', 0.9871), ('C0115', 0.9837)]"
C0008,"[('C0065', 0.8535), ('C0059', 0.8477), ('C0160', 0.7635)]"
C0009,"[('C0198', 1.0), ('C0061', 0.9675), ('C0062', 0.9583)]"
C0010,"[('C0062', 0.9396), ('C0111', 0.9244), ('C0103', 0.8649)]"
C0011,"[('C0006', 0.9768), ('C0137', 0.9628), ('C0126', 0.9552)]"
C0012,"[('C0163', 0.9927), ('C0104', 0.9716), ('C0113', 0.9713)]"
C0013,"[('C0099', 0.986), ('C0108', 0.961), ('C0082', 0.8193)]"
C0014,"[('C0060', 0.9994), ('C0089', 0.8978), ('C0097', 0.8817)]"
C0015,"[('C0131', 0.9787), ('C0036', 0.9669), ('C0094', 0.9452)]"
C0016,"[('C0183', 0.9763), ('C0067', 0.9006), ('C0098', 0.8668)]"
C0017,"[('C0041', 0.9657), ('C0075', 0.9601), ('C0057', 0.9299)]"
C0018,"[('C0122', 0.992), ('C0046', 0.9804), ('C0194', 0.8951)]"
C0019,"[('C0073', 0.995), ('C0132', 0.9631), ('C0167', 0.9593)]"
C0020,"[('C0157', 0.8973), ('C0058', 0.8615), ('C0033', 0.8584)]"
